Symbol,Sector,Price,% Change,Score,RSI,RSI Zone,ATR%,EMA20,SMA21,Trend,Sentiment Bar,Momentum,Distance to EMA%,Exhaustion,Pullback Window,Breakout Window,Exp Ride Length,Vol Shape,Freshness Index,Rel Momentum,MACD,MACD Signal,MACD Hist,Stoch %K,Stoch %D,VWAP,BB Upper,BB Middle,BB Lower,Why This Stock,Forecasts,Trade,Trendline Support,Trendline Broken,Stop %,Target1 %,Target2 %,notes
GOOGL,,299.66,3.53,91.23,70.19,Overbought,3.7,280.8708,281.7795,,,7.47,,,,,,Increasing,1.0,"Ticker
SPY    9.25
dtype: float64",6.0908,5.9085,0.1823,66.78,63.25,196.4111,298.6066,282.8725,267.1384,"vol↑, above EMA20, positive ROC","{3: {'yhat': 291.77, 'yhat_lower': 286.75, 'yhat_upper': 296.36}, 5: {'yhat': 293.82, 'yhat_lower': 288.92, 'yhat_upper': 298.68}, 7: {'yhat': 295.58, 'yhat_lower': 290.31, 'yhat_upper': 300.15}, 14: {'yhat': 305.04, 'yhat_lower': 300.07, 'yhat_upper': 310.17}}",HOLD,284.543,False,-5.55,3.7,7.4,
LLY,,1059.7,1.57,78.03,86.94,Overbought,3.11,965.7837,942.356,,,14.81,,,,,,Increasing,1.0,"Ticker
SPY    16.59
dtype: float64",46.9283,44.3955,2.5328,95.51,95.51,788.1628,1117.7136,948.2618,778.8101,"vol↑, above EMA20, positive ROC","{3: {'yhat': 1092.09, 'yhat_lower': 1058.92, 'yhat_upper': 1124.24}, 5: {'yhat': 1103.24, 'yhat_lower': 1073.16, 'yhat_upper': 1133.82}, 7: {'yhat': 1103.12, 'yhat_lower': 1072.73, 'yhat_upper': 1134.72}, 14: {'yhat': 1105.21, 'yhat_lower': 1072.15, 'yhat_upper': 1135.52}}",SELL,965.8099,False,-4.66,3.11,6.22,
WMT,,105.32,-1.67,74.43,59.87,Neutral,2.11,103.3212,102.9038,,,2.66,,,,,,Increasing,0.0263,"Ticker
SPY    4.44
dtype: float64",0.3172,-0.1797,0.4968,64.96,59.39,95.9123,105.7701,102.7405,99.7109,"vol↑, above EMA20, positive ROC","{3: {'yhat': 107.45, 'yhat_lower': 105.46, 'yhat_upper': 109.28}, 5: {'yhat': 108.93, 'yhat_lower': 106.98, 'yhat_upper': 110.86}, 7: {'yhat': 109.82, 'yhat_lower': 107.73, 'yhat_upper': 111.64}, 14: {'yhat': 112.31, 'yhat_lower': 110.33, 'yhat_upper': 114.35}}",HOLD,103.1458,False,-3.16,2.11,4.22,
DE,,487.24,2.29,64.99,71.63,Overbought,2.16,473.4378,473.2195,,,4.16,,,,,,Decreasing,0.0053,"Ticker
SPY    5.94
dtype: float64",3.399,2.8002,0.5988,75.84,70.03,472.4517,485.6984,473.2425,460.7866,"above EMA20, positive ROC","{3: {'yhat': 477.15, 'yhat_lower': 465.27, 'yhat_upper': 488.66}, 5: {'yhat': 476.98, 'yhat_lower': 466.21, 'yhat_upper': 487.93}, 7: {'yhat': 476.82, 'yhat_lower': 465.94, 'yhat_upper': 488.13}, 14: {'yhat': 473.96, 'yhat_lower': 462.13, 'yhat_upper': 484.82}}",HOLD,463.9584,False,-3.24,2.16,4.32,
XOM,,117.08,0.05,43.49,52.49,Neutral,1.95,116.1429,115.8301,,,0.75,,,,,,Increasing,0.125,"Ticker
SPY    2.53
dtype: float64",0.8967,1.0767,-0.18,68.25,74.41,108.041,120.3311,115.9021,111.4732,"vol↑, above EMA20, positive ROC","{3: {'yhat': 117.21, 'yhat_lower': 114.65, 'yhat_upper': 119.55}, 5: {'yhat': 117.02, 'yhat_lower': 114.52, 'yhat_upper': 119.5}, 7: {'yhat': 116.55, 'yhat_lower': 113.85, 'yhat_upper': 118.88}, 14: {'yhat': 113.5, 'yhat_lower': 110.97, 'yhat_upper': 116.12}}",HOLD,115.2367,False,-2.92,1.95,3.9,
COIN,,240.41,0.94,38.61,20.37,Oversold,8.18,291.3577,305.1471,,,-22.23,,,,,,Decreasing,0.0079,"Ticker
SPY   -20.45
dtype: float64",-22.4388,-16.5595,-5.8793,6.93,5.92,290.6911,376.7826,302.6815,228.5805,RSI low,"{3: {'yhat': 246.64, 'yhat_lower': 226.52, 'yhat_upper': 266.14}, 5: {'yhat': 246.24, 'yhat_lower': 227.99, 'yhat_upper': 264.78}, 7: {'yhat': 243.68, 'yhat_lower': 225.25, 'yhat_upper': 262.85}, 14: {'yhat': 243.93, 'yhat_lower': 223.88, 'yhat_upper': 262.32}}",SELL,300.4024,True,-12.27,8.18,16.36,
SMCI,,32.19,2.0,37.69,23.08,Oversold,8.55,39.8006,42.0205,,,-19.04,,,,,,Decreasing,0.0087,"Ticker
SPY   -17.26
dtype: float64",-3.9867,-3.6004,-0.3862,3.16,3.5,42.3701,56.8531,41.707,26.5609,RSI low,"{3: {'yhat': 37.13, 'yhat_lower': 33.25, 'yhat_upper': 40.67}, 5: {'yhat': 38.58, 'yhat_lower': 34.8, 'yhat_upper': 42.33}, 7: {'yhat': 38.88, 'yhat_lower': 34.8, 'yhat_upper': 42.4}, 14: {'yhat': 41.16, 'yhat_lower': 37.32, 'yhat_upper': 45.12}}",SELL,42.99,True,-12.82,8.55,17.1,
ADBE,,324.19,3.77,37.49,44.29,Neutral,2.43,331.0179,334.2552,,,-0.84,,,,,,Decreasing,0.0028,"Ticker
SPY    0.94
dtype: float64",-5.4915,-4.5765,-0.915,18.42,12.75,390.6027,356.0069,333.292,310.5771,RSI low,"{3: {'yhat': 329.44, 'yhat_lower': 314.9, 'yhat_upper': 343.54}, 5: {'yhat': 332.01, 'yhat_lower': 318.82, 'yhat_upper': 345.43}, 7: {'yhat': 331.23, 'yhat_lower': 317.9, 'yhat_upper': 345.08}, 14: {'yhat': 329.8, 'yhat_lower': 315.3, 'yhat_upper': 343.1}}",SELL,326.0644,True,-3.65,2.43,4.86,
COST,,899.01,0.64,35.24,37.64,Neutral,1.73,914.1087,916.9455,,,-2.57,,,,,,Increasing,0.0035,"Ticker
SPY   -0.79
dtype: float64",-8.2065,-5.6068,-2.5997,28.51,19.46,960.3004,943.46,916.2516,889.0432,"vol↑, RSI low","{3: {'yhat': 917.56, 'yhat_lower': 899.01, 'yhat_upper': 934.52}, 5: {'yhat': 923.18, 'yhat_lower': 905.08, 'yhat_upper': 941.15}, 7: {'yhat': 926.86, 'yhat_lower': 907.37, 'yhat_upper': 943.74}, 14: {'yhat': 943.33, 'yhat_lower': 924.97, 'yhat_upper': 962.27}}",HOLD,900.79,False,-2.6,1.73,3.46,
ENPH,,26.93,3.1,34.76,33.09,Neutral,7.41,30.05,30.5086,,,-10.89,,,,,,Decreasing,0.0029,"Ticker
SPY   -9.11
dtype: float64",-1.7054,-1.5353,-0.1701,5.55,3.89,43.9654,35.9817,30.2225,24.4633,RSI low,"{3: {'yhat': 29.58, 'yhat_lower': 26.63, 'yhat_upper': 32.44}, 5: {'yhat': 29.18, 'yhat_lower': 26.51, 'yhat_upper': 31.9}, 7: {'yhat': 29.73, 'yhat_lower': 27.03, 'yhat_upper': 32.54}, 14: {'yhat': 31.28, 'yhat_lower': 28.34, 'yhat_upper': 33.98}}",SELL,28.8532,True,-11.12,7.41,14.82,
PANW,,182.9,-1.17,33.68,12.18,Oversold,3.59,204.8092,210.08,,,-13.84,,,,,,Increasing,0.04,"Ticker
SPY   -12.06
dtype: float64",-6.7611,-3.0645,-3.6966,6.24,8.82,189.0331,231.8844,209.7285,187.5726,"vol↑, RSI low","{3: {'yhat': 190.17, 'yhat_lower': 184.0, 'yhat_upper': 195.81}, 5: {'yhat': 189.24, 'yhat_lower': 183.22, 'yhat_upper': 195.22}, 7: {'yhat': 187.35, 'yhat_lower': 180.87, 'yhat_upper': 192.97}, 14: {'yhat': 188.63, 'yhat_lower': 182.53, 'yhat_upper': 194.94}}",SELL,210.4932,True,-5.38,3.59,7.18,
MRNA,,23.72,6.08,32.4,42.21,Neutral,6.16,24.9343,25.1138,,,-3.34,,,,,,Decreasing,0.0031,"Ticker
SPY   -1.56
dtype: float64",-0.5965,-0.4127,-0.1839,18.1,21.26,30.2493,27.791,25.0325,22.274,RSI low,"{3: {'yhat': 24.86, 'yhat_lower': 22.58, 'yhat_upper': 27.07}, 5: {'yhat': 24.85, 'yhat_lower': 22.78, 'yhat_upper': 26.95}, 7: {'yhat': 24.76, 'yhat_lower': 22.67, 'yhat_upper': 26.93}, 14: {'yhat': 24.48, 'yhat_lower': 22.2, 'yhat_upper': 26.56}}",SELL,24.9668,True,-9.24,6.16,12.32,
AAPL,,271.49,1.97,31.97,58.51,Neutral,2.19,267.7144,269.5911,,,1.22,,,,,,Increasing,0.0909,"Ticker
SPY    3.0
dtype: float64",1.0447,2.0517,-1.007,30.0,22.76,225.8752,274.4385,269.9424,265.4463,"vol↑, above EMA20, positive ROC","{3: {'yhat': 267.39, 'yhat_lower': 260.52, 'yhat_upper': 273.68}, 5: {'yhat': 268.58, 'yhat_lower': 261.86, 'yhat_upper': 275.24}, 7: {'yhat': 269.14, 'yhat_lower': 261.91, 'yhat_upper': 275.4}, 14: {'yhat': 276.31, 'yhat_lower': 269.5, 'yhat_upper': 283.33}}",SELL,273.3422,True,-3.28,2.19,4.38,
CRM,,227.11,0.77,31.59,27.78,Oversold,3.29,240.4215,245.1381,,,-5.32,,,,,,Increasing,0.0028,"Ticker
SPY   -3.54
dtype: float64",-5.8709,-3.5776,-2.2933,8.96,8.6,274.6903,266.7112,244.6535,222.5958,"vol↑, RSI low","{3: {'yhat': 227.62, 'yhat_lower': 219.26, 'yhat_upper': 235.71}, 5: {'yhat': 228.42, 'yhat_lower': 220.85, 'yhat_upper': 236.12}, 7: {'yhat': 227.15, 'yhat_lower': 219.49, 'yhat_upper': 235.11}, 14: {'yhat': 233.71, 'yhat_lower': 225.39, 'yhat_upper': 241.35}}",SELL,239.6412,True,-4.94,3.29,6.58,
NFLX,,104.31,-1.29,31.23,29.66,Oversold,3.17,111.3719,110.5534,,,-5.49,,,,,,Increasing,0.0069,"Ticker
SPY   -3.71
dtype: float64",-1.7244,-1.024,-0.7004,11.56,29.89,107.1422,116.1836,110.6076,105.0317,"vol↑, RSI low","{3: {'yhat': 111.99, 'yhat_lower': 108.86, 'yhat_upper': 115.33}, 5: {'yhat': 113.0, 'yhat_lower': 109.57, 'yhat_upper': 116.3}, 7: {'yhat': 112.86, 'yhat_lower': 109.6, 'yhat_upper': 116.34}, 14: {'yhat': 114.2, 'yhat_lower': 111.03, 'yhat_upper': 117.31}}",SELL,107.8919,True,-4.76,3.17,6.34,
PFE,,25.04,2.62,30.01,53.14,Neutral,3.08,24.7975,24.6347,,,2.5,,,,,,Increasing,0.02,"Ticker
SPY    4.28
dtype: float64",0.1223,0.1697,-0.0473,37.67,43.81,23.9834,25.9285,24.6499,23.3712,"vol↑, above EMA20, positive ROC","{3: {'yhat': 25.0, 'yhat_lower': 24.36, 'yhat_upper': 25.61}, 5: {'yhat': 24.89, 'yhat_lower': 24.32, 'yhat_upper': 25.46}, 7: {'yhat': 24.8, 'yhat_lower': 24.22, 'yhat_upper': 25.43}, 14: {'yhat': 24.57, 'yhat_lower': 24.01, 'yhat_upper': 25.19}}",HOLD,24.5574,False,-4.62,3.08,6.16,
SLV,,45.3,-1.05,28.41,47.1,Neutral,2.9,45.3132,44.8252,,,3.14,,,,,,Increasing,0.027,"Ticker
SPY    4.92
dtype: float64",0.3577,0.4619,-0.1042,53.85,56.17,35.1333,48.1991,44.867,41.5349,"vol↑, positive ROC","{3: {'yhat': 47.72, 'yhat_lower': 46.81, 'yhat_upper': 48.68}, 5: {'yhat': 48.06, 'yhat_lower': 47.07, 'yhat_upper': 49.01}, 7: {'yhat': 48.12, 'yhat_lower': 47.18, 'yhat_upper': 49.12}, 14: {'yhat': 48.06, 'yhat_lower': 47.14, 'yhat_upper': 48.96}}",SELL,47.0301,True,-4.35,2.9,5.8,
SPY,,659.03,1.0,27.86,37.33,Neutral,1.59,669.2221,674.6667,,,-1.78,,,,,,Increasing,0.0417,"Ticker
SPY    0.0
dtype: float64",-4.6829,-1.7148,-2.9682,16.16,15.48,606.6672,695.0761,674.5375,653.9989,"vol↑, RSI low","{3: {'yhat': 659.67, 'yhat_lower': 650.19, 'yhat_upper': 668.83}, 5: {'yhat': 660.79, 'yhat_lower': 652.23, 'yhat_upper': 669.24}, 7: {'yhat': 659.5, 'yhat_lower': 650.86, 'yhat_upper': 668.95}, 14: {'yhat': 663.32, 'yhat_lower': 654.98, 'yhat_upper': 672.6}}",SELL,674.63,True,-2.39,1.59,3.18,
CVX,,149.98,-0.22,27.65,37.26,Neutral,1.88,152.532,152.8154,,,-2.17,,,,,,Increasing,0.0043,"Ticker
SPY   -0.39
dtype: float64",-0.5085,-0.0301,-0.4783,13.61,23.97,146.8134,156.068,152.764,149.4601,"vol↑, RSI low","{3: {'yhat': 152.78, 'yhat_lower': 149.69, 'yhat_upper': 156.07}, 5: {'yhat': 153.67, 'yhat_lower': 150.29, 'yhat_upper': 156.92}, 7: {'yhat': 153.9, 'yhat_lower': 150.68, 'yhat_upper': 157.33}, 14: {'yhat': 152.3, 'yhat_lower': 149.17, 'yhat_upper': 155.37}}",HOLD,150.208,False,-2.82,1.88,3.76,
QQQ,,590.07,0.75,27.21,31.88,Neutral,2.29,607.3785,615.4162,,,-3.23,,,,,,Increasing,0.0417,"Ticker
SPY   -1.45
dtype: float64",-6.8647,-2.7481,-4.1166,13.72,13.33,539.2899,644.6274,615.332,586.0366,"vol↑, RSI low","{3: {'yhat': 593.61, 'yhat_lower': 583.58, 'yhat_upper': 603.31}, 5: {'yhat': 595.63, 'yhat_lower': 586.57, 'yhat_upper': 604.57}, 7: {'yhat': 594.99, 'yhat_lower': 585.85, 'yhat_upper': 604.99}, 14: {'yhat': 604.95, 'yhat_lower': 596.13, 'yhat_upper': 614.77}}",SELL,616.4314,True,-3.44,2.29,4.58,
QCOM,,163.3,2.32,26.37,37.55,Neutral,4.07,169.7603,173.4933,,,-4.44,,,,,,Decreasing,0.0385,"Ticker
SPY   -2.66
dtype: float64",-2.7676,-0.8746,-1.8931,14.17,14.47,157.5963,187.7492,173.721,159.6928,RSI low,"{3: {'yhat': 161.84, 'yhat_lower': 157.21, 'yhat_upper': 166.78}, 5: {'yhat': 162.18, 'yhat_lower': 157.11, 'yhat_upper': 167.06}, 7: {'yhat': 160.01, 'yhat_lower': 155.19, 'yhat_upper': 165.16}, 14: {'yhat': 160.89, 'yhat_lower': 156.21, 'yhat_upper': 165.49}}",SELL,171.2127,True,-6.1,4.07,8.14,
