Symbol,Sector,Price,% Change,Score,RSI,RSI Zone,ATR%,EMA20,SMA21,Trend,Sentiment Bar,Momentum,Distance to EMA%,Exhaustion,Pullback Window,Breakout Window,Exp Ride Length,Vol Shape,Freshness Index,Rel Momentum,MACD,MACD Signal,MACD Hist,Stoch %K,Stoch %D,VWAP,BB Upper,BB Middle,BB Lower,Why This Stock,Forecasts,Trade,Trendline Support,Trendline Broken,Stop %,Target1 %,Target2 %,notes
HD,,343.32,3.29,26.3,32.36,Neutral,2.65,362.523,367.6795,,,-7.49,,,,,,Increasing,0.0028,"Ticker
SPY   -5.71
dtype: float64",-11.3729,-8.3503,-3.0226,10.25,5.92,378.6308,400.7837,366.7295,332.6753,"vol↑, RSI low","{3: {'yhat': 342.63, 'yhat_lower': 334.86, 'yhat_upper': 350.13}, 5: {'yhat': 341.18, 'yhat_lower': 334.17, 'yhat_upper': 348.1}, 7: {'yhat': 341.11, 'yhat_lower': 334.03, 'yhat_upper': 348.85}, 14: {'yhat': 340.47, 'yhat_lower': 333.64, 'yhat_upper': 348.07}}",SELL,352.4359,True,-3.97,2.65,5.3,
META,,594.25,0.87,25.97,24.47,Oversold,2.96,632.5464,643.3029,,,-4.42,,,,,,Decreasing,0.0098,"Ticker
SPY   -2.64
dtype: float64",-22.9891,-24.2274,1.2383,13.71,11.49,651.9225,743.4547,638.55,533.6453,RSI low,"{3: {'yhat': 618.34, 'yhat_lower': 600.9, 'yhat_upper': 636.92}, 5: {'yhat': 629.9, 'yhat_lower': 610.82, 'yhat_upper': 648.25}, 7: {'yhat': 639.08, 'yhat_lower': 620.93, 'yhat_upper': 658.43}, 14: {'yhat': 673.93, 'yhat_lower': 656.31, 'yhat_upper': 691.24}}",SELL,613.0428,True,-4.44,2.96,5.92,
MSFT,,472.12,-1.32,25.46,20.05,Oversold,2.42,501.3976,508.3238,,,-4.79,,,,,,Increasing,0.04,"Ticker
SPY   -3.01
dtype: float64",-9.3772,-5.4775,-3.8997,7.86,11.56,453.9972,544.067,507.6084,471.1498,"vol↑, RSI low","{3: {'yhat': 486.57, 'yhat_lower': 477.04, 'yhat_upper': 495.78}, 5: {'yhat': 488.77, 'yhat_lower': 480.16, 'yhat_upper': 497.27}, 7: {'yhat': 490.59, 'yhat_lower': 481.9, 'yhat_upper': 500.09}, 14: {'yhat': 504.68, 'yhat_lower': 496.3, 'yhat_upper': 514.01}}",SELL,504.1828,True,-3.63,2.42,4.84,
MSTR,,170.5,-3.74,25.13,18.03,Oversold,9.99,226.7007,235.9076,,,-29.53,,,,,,Increasing,0.0078,"Ticker
SPY   -27.75
dtype: float64",-24.352,-20.9372,-3.4147,5.11,8.56,338.6639,305.8849,233.249,160.6131,"vol↑, RSI low","{3: {'yhat': 177.28, 'yhat_lower': 158.27, 'yhat_upper': 197.53}, 5: {'yhat': 177.98, 'yhat_lower': 157.18, 'yhat_upper': 197.99}, 7: {'yhat': 176.67, 'yhat_lower': 156.88, 'yhat_upper': 197.76}, 14: {'yhat': 179.48, 'yhat_lower': 160.26, 'yhat_upper': 198.35}}",SELL,213.1702,True,-14.98,9.99,19.98,
GLD,,374.27,-0.15,24.5,49.28,Neutral,1.71,373.6759,372.1571,,,1.62,,,,,,Decreasing,0.0303,"Ticker
SPY    3.4
dtype: float64",0.7954,1.2426,-0.4471,49.66,48.4,316.0099,385.0691,371.889,358.7089,"above EMA20, positive ROC","{3: {'yhat': 384.36, 'yhat_lower': 378.39, 'yhat_upper': 390.13}, 5: {'yhat': 386.04, 'yhat_lower': 380.65, 'yhat_upper': 391.36}, 7: {'yhat': 386.59, 'yhat_lower': 381.15, 'yhat_upper': 392.55}, 14: {'yhat': 386.12, 'yhat_lower': 380.87, 'yhat_upper': 391.97}}",SELL,384.9136,True,-2.56,1.71,3.42,
GDX,,73.65,0.93,24.31,45.17,Neutral,3.97,74.5181,73.4314,,,1.52,,,,,,Increasing,0.027,"Ticker
SPY    3.3
dtype: float64",0.1461,0.3076,-0.1614,52.14,57.75,54.7116,79.2731,73.463,67.6529,"vol↑, positive ROC","{3: {'yhat': 78.04, 'yhat_lower': 76.24, 'yhat_upper': 79.95}, 5: {'yhat': 78.5, 'yhat_lower': 76.54, 'yhat_upper': 80.39}, 7: {'yhat': 78.4, 'yhat_lower': 76.53, 'yhat_upper': 80.39}, 14: {'yhat': 77.67, 'yhat_lower': 75.85, 'yhat_upper': 79.45}}",SELL,75.6301,True,-5.96,3.97,7.94,
FSLR,,249.91,1.66,23.09,43.37,Neutral,5.31,252.5057,256.3657,,,-6.62,,,,,,Decreasing,0.0588,"Ticker
SPY   -4.84
dtype: float64",-0.324,3.2432,-3.5672,16.33,24.41,173.4839,281.3499,257.1135,232.8771,RSI low,"{3: {'yhat': 251.4, 'yhat_lower': 240.29, 'yhat_upper': 262.14}, 5: {'yhat': 250.05, 'yhat_lower': 240.02, 'yhat_upper': 259.95}, 7: {'yhat': 249.39, 'yhat_lower': 239.27, 'yhat_upper': 260.46}, 14: {'yhat': 248.32, 'yhat_lower': 238.55, 'yhat_upper': 259.19}}",SELL,259.5273,True,-7.96,5.31,10.62,
INTC,,34.5,2.62,21.87,37.1,Neutral,5.31,36.3004,37.5733,,,-9.52,,,,,,Decreasing,0.04,"Ticker
SPY   -7.74
dtype: float64",-0.9914,-0.5279,-0.4634,15.46,12.92,25.2668,42.3306,37.538,32.7454,RSI low,"{3: {'yhat': 32.06, 'yhat_lower': 30.72, 'yhat_upper': 33.38}, 5: {'yhat': 31.45, 'yhat_lower': 30.23, 'yhat_upper': 32.68}, 7: {'yhat': 30.84, 'yhat_lower': 29.53, 'yhat_upper': 32.07}, 14: {'yhat': 29.24, 'yhat_lower': 27.85, 'yhat_upper': 30.52}}",SELL,40.1768,True,-7.96,5.31,10.62,
IWM,,235.6,2.83,21.57,44.82,Neutral,2.23,239.0479,241.4495,,,-2.49,,,,,,Increasing,0.0263,"Ticker
SPY   -0.71
dtype: float64",-3.1015,-2.2947,-0.8068,18.38,13.55,220.2392,252.9215,241.0505,229.1795,"vol↑, RSI low","{3: {'yhat': 233.3, 'yhat_lower': 229.78, 'yhat_upper': 236.97}, 5: {'yhat': 233.59, 'yhat_lower': 230.01, 'yhat_upper': 237.25}, 7: {'yhat': 232.53, 'yhat_lower': 228.71, 'yhat_upper': 236.62}, 14: {'yhat': 230.88, 'yhat_lower': 227.44, 'yhat_upper': 234.74}}",SELL,240.8811,True,-3.34,2.23,4.46,
AMZN,,220.69,1.63,21.55,32.35,Neutral,3.13,231.3539,235.6519,,,-9.71,,,,,,Decreasing,0.0526,"Ticker
SPY   -7.93
dtype: float64",-3.8508,0.1867,-4.0375,8.18,8.36,215.1756,259.5159,236.224,212.9321,RSI low,"{3: {'yhat': 223.35, 'yhat_lower': 217.09, 'yhat_upper': 229.54}, 5: {'yhat': 222.79, 'yhat_lower': 217.07, 'yhat_upper': 228.58}, 7: {'yhat': 222.43, 'yhat_lower': 216.3, 'yhat_upper': 228.21}, 14: {'yhat': 230.81, 'yhat_lower': 224.29, 'yhat_upper': 236.77}}",SELL,229.3043,True,-4.7,3.13,6.26,
CELH,,38.99,-0.56,20.76,20.76,Oversold,9.53,47.3921,50.2248,,,-6.09,,,,,,Increasing,0.0278,"Ticker
SPY   -4.31
dtype: float64",-4.4659,-4.2119,-0.2541,2.59,3.6,38.4923,68.363,49.5685,30.774,"vol↑, RSI low","{3: {'yhat': 37.93, 'yhat_lower': 35.85, 'yhat_upper': 40.09}, 5: {'yhat': 37.98, 'yhat_lower': 35.87, 'yhat_upper': 40.14}, 7: {'yhat': 38.09, 'yhat_lower': 35.83, 'yhat_upper': 40.51}, 14: {'yhat': 39.48, 'yhat_lower': 37.44, 'yhat_upper': 41.75}}",SELL,48.6464,True,-14.29,9.53,19.06,
ZS,,275.01,-1.69,20.49,16.71,Oversold,4.28,304.6753,314.2262,,,-14.06,,,,,,Increasing,0.0526,"Ticker
SPY   -12.28
dtype: float64",-10.1071,-4.205,-5.9021,5.4,5.46,245.897,350.4685,313.7875,277.1065,"vol↑, RSI low","{3: {'yhat': 280.74, 'yhat_lower': 272.7, 'yhat_upper': 288.69}, 5: {'yhat': 277.3, 'yhat_lower': 269.95, 'yhat_upper': 284.72}, 7: {'yhat': 273.68, 'yhat_lower': 265.81, 'yhat_upper': 281.1}, 14: {'yhat': 268.51, 'yhat_lower': 260.15, 'yhat_upper': 276.17}}",SELL,315.9291,True,-6.42,4.28,8.56,
CAT,,550.43,0.79,19.86,46.76,Neutral,3.44,550.0939,557.5405,,,-2.25,,,,,,Decreasing,0.0417,"Ticker
SPY   -0.47
dtype: float64",0.8362,5.5113,-4.6751,25.59,23.06,396.9741,592.5883,559.281,525.9737,above EMA20,"{3: {'yhat': 540.55, 'yhat_lower': 530.23, 'yhat_upper': 551.28}, 5: {'yhat': 539.69, 'yhat_lower': 529.23, 'yhat_upper': 550.4}, 7: {'yhat': 534.93, 'yhat_lower': 523.73, 'yhat_upper': 546.91}, 14: {'yhat': 527.37, 'yhat_lower': 517.3, 'yhat_upper': 538.66}}",SELL,578.0172,True,-5.16,3.44,6.88,
NKE,,62.8,2.23,19.39,46.53,Neutral,2.94,63.8985,63.7881,,,2.8,,,,,,Increasing,0.0037,"Ticker
SPY    4.58
dtype: float64",-0.7808,-0.952,0.1712,33.5,34.43,67.8575,67.7713,63.522,59.2727,"vol↑, positive ROC","{3: {'yhat': 63.11, 'yhat_lower': 60.68, 'yhat_upper': 65.53}, 5: {'yhat': 63.41, 'yhat_lower': 61.18, 'yhat_upper': 65.66}, 7: {'yhat': 62.98, 'yhat_lower': 60.59, 'yhat_upper': 65.23}, 14: {'yhat': 63.74, 'yhat_lower': 61.2, 'yhat_upper': 66.07}}",HOLD,60.9534,False,-4.41,2.94,5.88,
SHOP,,147.8,2.24,18.28,43.06,Neutral,5.67,153.2706,159.2495,,,-3.02,,,,,,Increasing,0.0417,"Ticker
SPY   -1.24
dtype: float64",-4.7815,-3.9853,-0.7963,24.34,17.82,119.0017,184.9127,158.5645,132.2163,"vol↑, RSI low","{3: {'yhat': 143.54, 'yhat_lower': 137.88, 'yhat_upper': 149.42}, 5: {'yhat': 144.94, 'yhat_lower': 139.2, 'yhat_upper': 150.81}, 7: {'yhat': 144.38, 'yhat_lower': 138.24, 'yhat_upper': 150.95}, 14: {'yhat': 147.83, 'yhat_lower': 142.31, 'yhat_upper': 154.02}}",SELL,158.2386,True,-8.5,5.67,11.34,
PLTR,,154.85,-0.57,17.8,24.13,Oversold,7.82,175.4829,182.1679,,,-12.97,,,,,,Increasing,0.0526,"Ticker
SPY   -11.19
dtype: float64",-7.5093,-3.7441,-3.7652,8.11,7.67,119.2738,211.4728,182.0447,152.6167,"vol↑, RSI low","{3: {'yhat': 158.84, 'yhat_lower': 152.09, 'yhat_upper': 165.51}, 5: {'yhat': 158.27, 'yhat_lower': 152.1, 'yhat_upper': 164.5}, 7: {'yhat': 157.23, 'yhat_lower': 150.62, 'yhat_upper': 163.45}, 14: {'yhat': 159.22, 'yhat_lower': 152.2, 'yhat_upper': 165.65}}",SELL,180.9321,True,-11.73,7.82,15.64,
AMD,,203.78,-1.09,17.68,25.07,Oversold,8.29,232.8549,243.9276,,,-12.74,,,,,,Increasing,0.0417,"Ticker
SPY   -10.96
dtype: float64",-7.7453,-0.5393,-7.206,8.04,12.26,152.586,278.0047,243.478,208.9513,"vol↑, RSI low","{3: {'yhat': 218.49, 'yhat_lower': 210.94, 'yhat_upper': 226.34}, 5: {'yhat': 217.53, 'yhat_lower': 209.88, 'yhat_upper': 225.37}, 7: {'yhat': 212.01, 'yhat_lower': 203.82, 'yhat_upper': 220.78}, 14: {'yhat': 205.22, 'yhat_lower': 197.85, 'yhat_upper': 213.48}}",SELL,256.4623,True,-12.43,8.29,16.58,
TSLA,,391.09,-1.05,17.67,29.67,Oversold,5.96,421.1492,432.2505,,,-8.95,,,,,,Increasing,0.0029,"Ticker
SPY   -7.17
dtype: float64",-12.794,-8.0619,-4.7321,15.56,19.54,342.4594,483.5511,432.177,380.8029,"vol↑, RSI low","{3: {'yhat': 384.8, 'yhat_lower': 367.45, 'yhat_upper': 401.97}, 5: {'yhat': 388.04, 'yhat_lower': 372.17, 'yhat_upper': 404.07}, 7: {'yhat': 391.44, 'yhat_lower': 374.43, 'yhat_upper': 407.46}, 14: {'yhat': 431.11, 'yhat_lower': 413.04, 'yhat_upper': 447.64}}",SELL,441.301,True,-8.94,5.96,11.92,
UBER,,83.87,0.61,17.52,19.08,Oversold,3.98,91.4116,92.8724,,,-8.83,,,,,,Increasing,0.0213,"Ticker
SPY   -7.05
dtype: float64",-2.4037,-1.2605,-1.1433,8.31,9.94,80.6928,100.7297,92.8125,84.8953,"vol↑, RSI low","{3: {'yhat': 86.32, 'yhat_lower': 83.99, 'yhat_upper': 88.75}, 5: {'yhat': 84.61, 'yhat_lower': 82.24, 'yhat_upper': 87.03}, 7: {'yhat': 83.29, 'yhat_lower': 80.76, 'yhat_upper': 86.0}, 14: {'yhat': 79.08, 'yhat_lower': 76.8, 'yhat_upper': 81.63}}",SELL,91.0424,True,-5.97,3.98,7.96,
AVGO,,340.2,-1.91,17.24,40.45,Neutral,4.73,349.6651,355.8248,,,-2.64,,,,,,Increasing,0.0417,"Ticker
SPY   -0.86
dtype: float64",-2.9755,-1.6227,-1.3528,37.48,35.08,246.9493,381.6904,355.9095,330.1286,"vol↑, RSI low","{3: {'yhat': 343.36, 'yhat_lower': 331.79, 'yhat_upper': 354.81}, 5: {'yhat': 347.29, 'yhat_lower': 336.71, 'yhat_upper': 357.98}, 7: {'yhat': 348.38, 'yhat_lower': 337.04, 'yhat_upper': 359.06}, 14: {'yhat': 363.56, 'yhat_lower': 351.52, 'yhat_upper': 374.58}}",SELL,351.8858,True,-7.1,4.73,9.46,
CRWD,,490.67,-2.12,14.67,27.08,Oversold,4.24,522.8405,533.6633,,,-9.1,,,,,,Increasing,0.0833,"Ticker
SPY   -7.32
dtype: float64",-6.8165,1.5315,-8.348,12.13,14.43,420.7484,568.2451,533.9805,499.7159,"vol↑, RSI low","{3: {'yhat': 500.6, 'yhat_lower': 485.69, 'yhat_upper': 516.11}, 5: {'yhat': 498.82, 'yhat_lower': 483.7, 'yhat_upper': 514.31}, 7: {'yhat': 493.79, 'yhat_lower': 477.61, 'yhat_upper': 511.11}, 14: {'yhat': 491.9, 'yhat_lower': 477.34, 'yhat_upper': 508.22}}",SELL,544.7564,True,-6.36,4.24,8.48,
NVDA,,178.88,-0.97,13.93,35.16,Neutral,5.18,188.2229,192.631,,,-4.93,,,,,,Increasing,0.0417,"Ticker
SPY   -3.15
dtype: float64",-3.03,-0.9557,-2.0743,15.99,15.38,143.4738,210.0123,192.9495,175.8867,"vol↑, RSI low","{3: {'yhat': 178.32, 'yhat_lower': 172.1, 'yhat_upper': 184.41}, 5: {'yhat': 178.21, 'yhat_lower': 172.5, 'yhat_upper': 184.26}, 7: {'yhat': 176.37, 'yhat_lower': 170.31, 'yhat_upper': 182.24}, 14: {'yhat': 174.34, 'yhat_lower': 168.54, 'yhat_upper': 180.37}}",SELL,191.638,True,-7.77,5.18,10.36,
SEDG,,34.45,4.11,13.92,41.78,Neutral,13.4,36.731,37.279,,,-13.87,,,,,,Increasing,0.0833,"Ticker
SPY   -12.09
dtype: float64",-1.1599,-0.3701,-0.7898,18.58,19.71,22.53,45.0921,37.158,29.2239,"vol↑, RSI low","{3: {'yhat': 34.05, 'yhat_lower': 31.85, 'yhat_upper': 36.37}, 5: {'yhat': 33.46, 'yhat_lower': 31.18, 'yhat_upper': 35.84}, 7: {'yhat': 32.99, 'yhat_lower': 30.6, 'yhat_upper': 35.08}, 14: {'yhat': 32.62, 'yhat_lower': 30.17, 'yhat_upper': 35.08}}",SELL,37.16,True,-20.1,13.4,26.8,
